input_text,vibe_label
"Categories: Cocktail Bars, Fish & Chips, Nightlife, Seafood, Restaurants, Bars | Review: Great, fresh sea food with a view to boot! Whenever I've been here it happens to be on a weekend and of course with the expected wait. Worth it every time. I could go for some of their clam chowder right now.",date_night
"Categories: Diners, Salad, American (Traditional), Breakfast & Brunch, Restaurants | Review: Iconic last holdout of former large national restaurant chain. Come for breakfast, prepare for a wait. Sunday 10 Am wait was only 1O-15 mins though. Splurge on the fresh squeezed OJ. Try the California Benedict. Tasty Coffee, Great breakfast overall! Will be back for sure !",family_friendly
"Categories: Food, Breweries | Review: Best spot in the funk zone. Rad scene and cool bartenders especially Cory and Lyle. Everyone is always having a good time. Great beer as well. Also when you open a tab they give your credit card right back instead of holding on to it. This is fantastic for someone like me who leaves his credit cards at bars every weekend. Thanks so much.",trendy
"Categories: Salad, Restaurants, Pizza, Sandwiches, Italian | Review: This review is completely about the service because the food is actually 5 stars. I have been here a few times, and every time we encountered rude people. Today for example the man that took our food to our table was extremely rude, when he asked us if we needed anything else and we said we need napkins and a fork he rolled his eyes and leaves gets the stuff comes back and basically slams it on the table and asks us in such a rude way ""is there anything else you need??"" 
Last time we just got our food to go because again we had a rude woman helping us. 
Again the food is amazing but they need to train their employees better or get new ones that actually like their jobs.",casual_hangout
"Categories: Steakhouses, Bars, Brewpubs, Breweries, American (Traditional), Nightlife, Sports Bars, Restaurants, Food, Burgers, Comfort Food, Seafood | Review: Totally good local spot. Great beer selection. Calamari was a little soggy but everything else was great. We had a burger and a prime rib sandwich. Both did the job. The staff was the best part. Super sweet ladies!",upscale
"Categories: Breweries, Restaurants, Sports Bars, Nightlife, American (Traditional), Food, Bars | Review: Had the fish & chips at 8:00 PM. Edible, but certainly not memorable. Looked like the cooking oil was old & cold. My wife's salmon salad was mediocre as well, cold and unremarkable. It also seemed to take much longer than it should for food of this quality to make it out of the kitchen.",trendy
"Categories: Nightlife, Sports Bars, Bars | Review: A nice departure from the college students and pop music you find in most bars of downtown Santa Barbara. Think upscale dive bar (yes, I realize that is an oxymoron) with a friendly local crowd. Music is selected via Jukebox, a rarity in Santa Barbara.
What I like most is that instead of featuring baseball and football (American), they show rugby and soccer on their flatscreen tv's. When World Cup is on, you can count on them showing it and a packed bar.",late_night
"Categories: Nightlife, Seafood, Restaurants, Bars, Cocktail Bars, Burgers, Fish & Chips, Sandwiches | Review: Wound up here after driving the PCH all day.. so glad we did. Food was amazing and the service was top notch. Jonathan was especially welcoming to us. Small town vibes with a big city menu. Lobster Mac was stock full of lobster tail. Better than I've ever had. Bacon wrapped figs, Boston clam chowder and some flourless chocolate cake were all stellar eats as well. Def recommend this to others traveling to or through Carpentaria!!",trendy
"Categories: Restaurants, Bakeries, Breakfast & Brunch, Food, Coffee Roasteries, Coffee & Tea | Review: I think the coffee here is not only delicious, but it is super strong. It is nice to get a strong cup of coffee that keeps you on your toes all the way until 5p.m. I recommend the red eye, very strong. Very friendly customer service, Axxess card discount, lots of seating for work/studying and wifi! Love this local roasting company!",study_spot
"Categories: Vegetarian, Gluten-Free, Food, Restaurants, Coffee & Tea, American (New), Vegan, Cafes | Review: The food was good, at a good price.  The staff are very friendly.  However, this was not the place for us.  It wasn't clear from yelp or the website that this is just a tiny little place with only 3 tables.  We were with our 3 year old and 18 month old and there were no high chairs... so the kids had to sit on our laps and we were barely able to eat our food.   It took a really long time to get our food, and I was confused about the order in which the food was coming out... a few people who were behind us actually got their food first.  
Also, apparently the tables are also considered community tables because some lady with no personal boundaries came and sat at our four top right next to my husband and talked to us the entire meal lol.   I would've given this place four stars, but I really think it should be made much more clear in the website to not take kids here.   If you're not going to have high chairs, you have to advertise that, because as a parent it is a total nightmare to be surprised by something like that.  
I guess I was just disappointed because it was not at all what I expected based off of what I saw on yelp when I picked the place out. Also, I have no idea why yelp says this place is ""good for groups.""   The place could probably seat 12 people TOTAL (not a group of 12) if you're lucky.   Yelp seriously needs to revise its specifications for this restaurant.",study_spot
"Categories: Diners, Salad, American (Traditional), Breakfast & Brunch, Restaurants | Review: We've had poor service and cold food on our visits, all at a steep price for what you get. They seem to live on the waterfront tourist trade, with little draw for the locals. I was hoping it would satisfy my nostalgic craving for the Sambo's that I loved visiting around the country in my youth, but no such luck. Disappointing.",family_friendly
"Categories: Nightlife, Bars, Karaoke, Beer Bar, Restaurants, Mexican | Review: Just went here and I am extremely disappointed. First of all, I asked about the Carne Asada fries and I was told that they come with ""fries, CHEESE and steak"". That's fine, sounds normal. I decided I would rather get the Carne Asada tacos and I asked what comes on them, and I was told that it only comes with the meat. I asked if I could get lettuce and cheese and the cashier responded ""lettuce is at the salsa bar and we do not have CHEESE"". You do not have CHEESE? FOR TACOS? When I was told literally 10 seconds prior that they serve cheese on the fries??? I do not understand. So I proceeded with my order anyways, and I got my tacos and headed to the salsa bar. The lettuce is not lettuce, it is actually parsley MIXED with onions (???). They do not have lettuce by itself. Lastly, my receipt says I was charged $0.15 for ""1 Sorry"". I have no idea what a ""Sorry"" is, nor did I purchase one. I asked what this meant and apparently it is the sales tax, but on the receipt the sales tax was listed separately at $0.47. This place is a complete joke and might as well close down until they can get the ingredients necessary for tacos, as this is a taco place right? Terrible.",late_night
"Categories: Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional) | Review: Came here for breakfast and it hit the spot. The country friend steak was so good and the french toast was yummy as well. The staff so nice check this place out if you are looking for so good simple breakfast.",family_friendly
"Categories: Food, Vegetarian, Salad, Restaurants, Cafes, American (Traditional), Burgers, Juice Bars & Smoothies | Review: Natural Cafe is a great place for vegetarians or those who are looking for a meal on the healthier side. 

The new location in the Camino Real marketplace is right next to Hollister Brewing. You order at the counter and take a seat inside (it's not an overly large seating area) or outside on the patio, where they have tables with umbrellas and heat lamps for the evenings. 

The menu of appetizers, salads, burgers, pizzas, pastas, etc. has something for pretty much everyone. I like the Yogi Special (sautéed tofu, brown rice, ample side salad with your choice of dressing that comes on the side) and the Zen Burger (veggie patty burger which comes with chips and salsa) also looked yummy. Friends ordered salad entrees and they were enormous! They don't skimp on the portions here. 

I will definitely be back when I'm in the mood for a casual, healthy lunch or dinner in Goleta.",casual_hangout
"Categories: American (New), Food, Restaurants, Coffee & Tea, Breakfast & Brunch | Review: Why on earth would you ever want to eat here for breakfast? My girlfriend and I went there for breakfast and the woman who took our order couldn't of been any more friendlier - yes, I'm  being very sarcastic. We ordered our food at the window and she was acting as if she had more important things to do than serve us. Apparently customers aren't important here. I ordered the chicken, gravy and biscuits - and potatoes and bacon - which our side dishes came out first. The best thing on the menu was the bacon . Even getting silverware was a hassle. The only person who was decent to us was a smiling woman who was cleaning up afterbus and she promptly provided us a box. Honestly, I ate there an hour ago and I feel gross and sluggish. Is this SB restaurant trying too hard to be like LA? Nice try but even similar restaurants in LA have better service and items on their menu. Definitely not worth it!",study_spot
"Categories: Tuscan, Seafood, Wine Bars, Restaurants, Bars, Nightlife, Italian | Review: We were just in the area and stopped in for some dinner. We saw that this place had great reviews so it must be good. Oh my... everything we ordered was so on point! One of the best Italian places I've been to. The Shrimp, clams, & mussels in the spicy red sauce was prob the one thing I would say you must try! The red sauce was so thick and flavorful. We also ordered the salmon carpaccio with arugula. It was delicious as well. My clams with the white wine was soooooo good! & my fiancé's papperdelle alle bosciaola was also another on point item! Overall this place won over my mouth and tummy! The only thing I didn't care for was the bread. I wished they had different kinds. The one they served was too dry and kinda burnt. Def would come back if I am ever in the area again!",date_night
"Categories: Restaurants, Fast Food, Mexican, Tacos, Burgers, Breakfast & Brunch | Review: SAVE YOUR SELF THE TRIP HERE BECUASE THEY SUCK! 

I lived in a few towns here locally and have trieds several different jack in the cracks, they are my favorite but this one should even be called Jacks. It actully made me change my prefference to Carls jr. I love the tacos but dont go here for them unless you want to be grossed out. Ever time I think service here might have gotten better I always end up dissapointed. I love jacks tacos, just not from this jack in the box. to top if dont complain to those that work their unless you want to be looked at funny or have a worker try and defend themselves like your attacking them. Im just letting you know no need to get all defensive, just fix the issue.

I decided to complained to corporate about there refired tacos and how thier service was horrible. it has happened one to many times, im just fed up with them. The tacos stale and dark brown, not sure if its the oil or they just over cooking them or what ever the issue is but they are not suppose to be like that. icing on the cake, they even forgot to put my chicken sandwhich in the bag and my jalepeno poppers. ok, my mistake for not checking the bag, but that shouldnt be my job. I should get discounted price if i need to check the bag thats like half the work.

When I called corporate they sent me one coupon for my item two weeks later. I was like wow great im going to go back for my combo meal that I order, nope i was mistaken. the manager said it was one only for one item WTF MATE i paid 7 buicks for a spicy chiken combo and you give me a voucher for an item that wont cost over $3.50?. How to they expect to keep my business if they only give me a voucer for one item when my whole meal was ruined becuase I had to go back and forth to pick up the items they forget. gas is not cheap in SB and thats taking time out of my day for a lame inconvience.  

Oh and another thing NAT FLIES by the drinking area is gross. I think the only reason why this location stays open is becuase the college kids dont care, they go in drunk on a late night and keep this shameful bussiness going... Im writing a formal compliant to the heath inspector, lets see if that changes anything. New management or workers? Yes, Please either will be fine!!!!!",casual_hangout
"Categories: Nightlife, Seafood, Restaurants, Bars, Cocktail Bars, Burgers, Fish & Chips, Sandwiches | Review: Loved the service here.   Came in minutes after closing but Jonathan took care of us.   The service, the margaritas, and the tacos (and then dessert) were delicious.     Thanks, guys!",trendy
"Categories: Food, Italian, Pizza, Fast Food, Gelato, Chicken Wings, Sandwiches, Salad, Restaurants | Review: SUCKS FOR CELIACS!
I love pizza and as a celiac (who CAN NOT have ANY gluten) have been thrilled that more and more places are offering gluten free pizza. Although they offer a gluten free dough at Persona, none of their practices reflect any awareness of cross contamination. They place the pizza in the oven on the same stone as all other pizzas even though there are trays available inches away. Then when I asked the black bearded douchebag operating the pizza oven if they take gluten free precautions he assured me ""Oh yes, I thoroughly clean the oven...it's my job blah blah blah"" As I watch him using the same oven surface without a tray, same tools everything and thoroughly contaminate what could have been gluten free pizza. To top it off it appeared that some follow up comment from BBD seemed to amuse the staff as I walked out. Wonder if it was gluten related. I get that a pizza place is not the safest place for a celiac and it may be a pain to accommodate. So maybe just don't even offer gluten free dough or like Dominoes use a major disclaimer that you can't guarantee it to be allergy safe or learn decent practices. Also, according to those who ate it (who are used to eating gluten free with me) the dough sucked anyway, chewy and rubbery. Guess I'll be keeping loyal to Pizza Rev from now on and suggest other celiacs do the same.
*Wondering how visible this review will be since I know poor reviews can get buried, for a price.",casual_hangout
"Categories: Restaurants, Mexican, Fast Food | Review: I just left the restaurant, and I have nothing positive to say about my experience. There was only one employee that was behind the counter, helping customers. He looked overwhelmed and not very happy at all. It's understandable, because he was the only employee helping customers. It looked like he may have been new, cause he was having a really hard time wrapping the burrito. During this time, the line was long and I was waiting for a cashier. He had to call twice for a cashier. When the girl came out, she clearly didn't want to be bothered. 
Every single open table was dirty, and food was on the ground. I asked one of the employees nicely if she could clean off my table. I told her that all of the tables were dirty. She didn't say anything. When she was wiping off my table, I said ""thank you"" twice. She didn't respond. She just walked off. 
Also, a customer ahead of me asked if he could get a little more chicken. An employee said that it would be an additional charge. The customer was given so little chicken! Very poor customer service at this location. You would think that they would be keeping the dining area especially clean because of Covid. They are NOT practicing food service safety! They should be reported to the health department.",casual_hangout
"Categories: Restaurants, Bars, Breakfast & Brunch, American (Traditional), Nightlife | Review: This is our Family's ""Go to"" spot for breakfast!  The food is excellent...equally important, the service is outstanding, prompt, and attentive. 

My Mom and I decided to try it for dinner last night and I'm sorry to say that it was the exact opposite   We were ignored,  and after getting our water and waiting 10 minutes, I had to get up and ask for a waitress!  Instead of serving our wine while we waited for our meal to be prepared,  I had to again get up, find our waitress,  and ask for our drinks.   

Bottom line;

Good Food
Horrible Service 
Very Disappointing",family_friendly
"Categories: Restaurants, Burgers, Sandwiches, Pizza, American (Traditional), Breakfast & Brunch | Review: On a road trip with family and was looking for breakfast near Santa Barbara. We went to Home Plate and had a great meal- French toast, huevos rancheros and a egg and pancake bacon breakfast. We were able to sit outside of restaurant - they have some tables spaced out in front. We were able to enjoy our hot meal. The staff checked on us a few times and were pleased with everything. We would definitely go back and happy to support this small restaurant.",family_friendly
"Categories: Restaurants, Sandwiches, Nightlife, Bars, American (New), Cocktail Bars | Review: I recently went here to have dinner alone at the bar and I was very happy I did! The service is phenomenal and the drinks are delicious! I ordered the chicken sandwich which I would highly recommend with spicy aoli sauce. The atmosphere is lounge vibes meets classic american style and everyone who sat around me was so friendly. They also have their own parking lot so there is no worrying about space like other parts of Montecito.",trendy
"Categories: Restaurants, Breakfast & Brunch, American (Traditional), American (New), Southern | Review: Oh Em Gee.  Freakin' amazing!!  We came for brekkie here and was totally 100% overly satisfied.  The service was excellent, no wait, great table.  Fresh OJ and Lemonade right away.  Waitress recommended the Crab cake + poached egg + hash and it was honestly one of the best breakfast dishes I've ever had.  Hubby got the bacon scramble with CORN BREAD, which was out of this world.  I would love to have tried more, but we were so stuffed.  Would definitely go back!!",family_friendly
"Categories: Food, Breakfast & Brunch, Bakeries, Restaurants, Coffee & Tea | Review: Was really excited for this place. Extremely limited menu. The food was good but not good enough to justify the prices. The waitstaff was extremely kind to me though.",study_spot
"Categories: Breakfast & Brunch, Diners, Restaurants, American (Traditional) | Review: Good breakfast and lunch in an intimate, cute environment. Make sure you're in no hurry when you come here though. Service is friendly but rather slow. 

On this trip I noticed a couple updates to the menu. They now offer several gluten-free specials and a small selection of local beer.",family_friendly
"Categories: Seafood, American (New), Sandwiches, Steakhouses, Restaurants, Bars, Nightlife | Review: Lemon grass salmon. Delicious. Very comfortable with great service. We stop here the 3-4 times we come to Santa Barbara. We look forward to it each time.",upscale
"Categories: Tapas/Small Plates, Desserts, Restaurants, Breakfast & Brunch, Food, Seafood | Review: We had oysters on a half shell, clam chowder, salmon, sea bass, calamari... ALL tasted great. Good food, good wine, great company and very attentive waiters! Comin back!!",upscale
"Categories: Tacos, Desserts, Nightlife, Bars, Indian, Mexican, Restaurants, Food, Beer Bar, Wine Bars, Fast Food | Review: I had goa taco at Smorgasburg LA and I really enjoyed it. However, this place is far superior. To begin with, its a sit down restaurant so you don't have to wait and eat in the scorching sun for your food. Also, they have more variety than the Smorgasburg LA one and the prices are cheaper and service is faster. Thumbs up!",late_night
"Categories: Restaurants, Food, American (New), Wine Bars, Nightlife, Venues & Event Spaces, Bars, Event Planning & Services | Review: Jane is so good! It's my boyfriend's favorite restaurant so we go for pretty much every special occasion. Every server we've had has always been friendly and professional. The food always comes to the table in a timely manner and is hot. The upstairs seating area is so cute and the chicken piccata is the best I've ever had. 

Definitely better to have reservations than to be a walk in as they've been busy every time we've gone.",upscale
"Categories: Restaurants, Mexican | Review: I had lunch here the other day. Note to self: Control is critical when it comes to the chips here. They are good, and it's easy to fill up on chips alone. 
The tri-tip burrito was great. While it wasn't huge, it was good...which is fine with me...I do not believe quantity is quality.
The server was attentive and prompt. Was it the best Mexican meal on earth? No. Would I eat here again? Yes, and look forward to doing so.",casual_hangout
"Categories: Restaurants, Chicken Wings, Sandwiches, Breakfast & Brunch, Pizza, Burgers | Review: We really want to like this place. We have been here about 5-6 times and the food is really good. Our troubles have been with the inconsistency in quality of service. A couple times I waited north of an hour for a carry-out order, which was incorrect once we got it. Other times we were unable to even connect with them on the phone to place an order. We also had a bad experience with the food being poorly prepared...just really sloppy and only a few items of each ingredient...very inconsistent with what we had before. If this place can get their customer service in order, we will probably keep coming back, because the food is really good.",casual_hangout
"Categories: Nightlife, Cocktail Bars, American (New), Bars, Restaurants | Review: In a nutshell: great cocktails, adventurous  and fun menu. Our ""go-to"" place with out-of-town guests.",trendy
"Categories: American (Traditional), Bakeries, Restaurants, Italian, Breakfast & Brunch, Food | Review: My wife and I often go here. Last night the Potato Cheddar Pure was wonderful. The food here tastes good. Good value, We often split and go for dessert.",family_friendly
"Categories: American (New), Steakhouses, Tacos, Mexican, Seafood, Restaurants | Review: Terrific food, thoughtfully prepared, in an attractive and welcoming setting. Modest, but interesting and reasonably priced, wine (and beer) list. Truly excellent service. Highly recommended.",upscale
"Categories: Pubs, Bars, Food, American (Traditional), American (New), Nightlife, Breweries, Brewpubs, Restaurants | Review: Came here for the first time last night, everything was delicious! Jamie and jake took great care of us! Will definitely be back!",trendy
"Categories: Restaurants, Coffee & Tea, American (Traditional), Breakfast & Brunch, Food, Diners | Review: Always a pleasure to eat here.  The service is amazing and one manager in particular, I think her name is Miranda, always comes by our table to see how we are doing.  My wife and I have grown to love our visits there and the feeling of family we get.  Thank you!",family_friendly
"Categories: Restaurants, Nightlife, Mexican, Bars, Breakfast & Brunch | Review: Absolutely delicious best margaritas in Carpinteria great Tex-Mex Mexican food. Be ready for large portions and tons of cheese. I love this place.",family_friendly
"Categories: Coffee & Tea, Food, Bagels, Breakfast & Brunch, Restaurants | Review: Congratulations Jack, you are famous!   

I had a few minutes to nip in and grab a bagel and shmear so I went to Jack's   My son had burned 9 gigs of my iPhone data the first six days of the new month so I am always on the hunt for Wi-Fi to keep my bill under a grand!    No Wi-Fi? thanks Jack!   I am always surprised by places like this with no internet!   They told me it keeps college kids away.   Is that their goal?  To keep people away?  Oh well, it will keep me away, others too.   

Since I couldn't use my phone I figured I would just watch golf or whatever was on the TV.  Oh it was an infomercial!  About acne.   Ewww eating my bagel watching pimple faced teenagers on the TV.   Great subject for a food place.   Maybe that is designed to keep people away too.  

So if you want to make Jack happy, don't go there!   Seems to be their what they are striving for.",study_spot
"Categories: Hawaiian, Food, Sushi Bars, Poke, Seafood, Restaurants | Review: I can't help it but compare PokiRito to Pokemee.  I was more impressed by the quality of the fish here.  The yellowtail was fantastic, it was silky and buttery, without too much bloodline.  The fish were cut to bigger chunks than Pokemee.  

A large bowl is $14, consists of 4 scoops of proteins, 3 scoops of sides, and any toppings your heart desires.  The spicy tuna counts as a side and not a protein, so you get even more sushi grade fish for the price.  There is also no extra charge for tamago and avocado, and bonus point for having kimchi.  The Tom Yum sauce was very flavorful, but I was hesitant to marinate it with the raw fish.  I would much prefer a simple ponzu (not offered here) with the raw fish and then having a rich mayo based sauce on the side for some extra kicks.  My critique would be to add ponzu sauce and get some sturdier bowls.  A large poke bowl here can get quite hefty and the workers were having some trouble picking up the flimsy bowl without spilling the contents.",date_night
"Categories: Cocktail Bars, Fish & Chips, Nightlife, Seafood, Restaurants, Bars | Review: We had a meal and drinks in the bar downstairs around 3pm on a Sunday a few weeks ago. It was a quiet day so we sat at the bar outside and had a view of the marina. The clam chowder was super yummy and my favorite. The baked clams and fish and chips were good but nothing I feel I would fun back for. Service was good and friendly. Note: you're not allowed to have your dog on the patio even though it is outside. We didn't have one but a few people wanted to sit outside but the server had to tell them no. I guess something about a city ordinance? So if you have a dog, you have to tie them up to the side.",date_night
"Categories: Breweries, Restaurants, Sports Bars, Nightlife, American (Traditional), Food, Bars | Review: The food here is amazingly and reliably good. Tonight we didn't want to wait for a table so we went to the lounge. It's the same menu but in an adjacent ex-pool hall they stick the people they can't seat in the main restaurant. 

Horrible ambiance--loud and annoying and, well, everyone in there could have been my child (I'm 41.5) and not the studious sort of 20-year-old either. (Upon rereading, I realize this is awkwardly put; even Michelle Bachmann, if you count her foster children, had 27 kids and there were probably 50 people so not all of them could have been my offspring but any one of them certainly could have been.) 

But our server was terrific and overtaxed, responsible for seating and taking orders. When we arrived, the music was loud but tolerable. Within 45 seconds, the volume shot up and I explained that I had a horrible headache and didn't feel great as I had my period and asked if there was any way they could have mercy on my hormonal head, assuring her that we would not be here long. 

J says this would not have worked on a male server but in my experience men are such weaklings about these matters, I think he would have been embarrassed enough to turn it down a bit for me (and I look wan and exhausted, believably in distress). 

She was great and the music went back to a tolerable level for a bar. Some promotional booze girls in short shorts and super high wedge heels were passing out samples of whiskey, I take it, as their tank tops said Jack Daniels. 

I tried a new sandwich and ADORED it: citrus chicken. It is marinated in beer and something else and comes on a spectacular bun with avocado and pepper jack. I subbed goat cheese and with the red onions and lettuce this was a perfect and relatively healthy sandwich as I made it into an open-faced sandwich. 

The Caesar is mediocre but you get a choice of sides and you can order a side of vegetables if you're trying to be virtuous. 

The chili is always excellent. I dislike wings but my boyfriend likes them on occasion and his were as usual great. 

The burgers are very good as well and the ahi salad is a favorite even of out of towners. 

I'm not into beer and thought my boyfriend's beer far too strong but I'm sure if you like beer you'll like it here. 

There are ten or so starters and pizzas, quite innovative. 

It's just consistently good food at very good prices. 

The Lounge is to be avoided for any mature, civilized adult. But in a pinch if you're hungry and cranky and just want food without a wait, the Lounge won't kill you.

Note: It may indicate something about the clientele that when you sit down for dinner in one of the tables in this ex-pool hall with 11 TVs and a few pool tables, you have to give your server a credit card to open a tab. This is abnormal and suggests to me that the patrons of this establishment are less than trustworthy, grown-up, responsible people. That's fine and I suppose at 20, not everyone is a grown-up, but I've never in my life been asked to give a credit card when ordering a drink at a table.",late_night
"Categories: Mexican, Tacos, Restaurants | Review: For simple mexican food it is delicous and a great value. To the point, no frills. I will continue to go back for more!",casual_hangout
"Categories: Event Planning & Services, Caterers, Sandwiches, Bars, Steakhouses, Delis, Nightlife, Burgers, Cafes, American (New), Restaurants, American (Traditional) | Review: I ordered the Petite Filet Mignon. Was very disappointed when it arrived because it was smaller than the diameter of a soup can, and less than 1/2"" thick. It also was over cooked and dry as a bone. Keep in mind, it was $21.95. I jokingly referred to it as ""my piece of shoe leather"" throughout dinner. Joking aside, I am disappointed that Jill's has become like most most other restaurants in SB: overpriced for the quality and quantity. This used to be my go-to steak place, and in my 10+ years of patronizing Jill's, never did the petite filet come in such a small portion size. Any upstanding steakhouse shouldn't even serve a portion that small. 

Other disappointments include the low quality wine served during happy hour and the overlooked rice pilaf, which had clumps of stuck together rice balls in it where they seemingly scraped out the bottom of the pan.",study_spot
"Categories: Chinese, Food, Dim Sum, Desserts, Coffee & Tea, Restaurants | Review: We were excited to go back to one of our old stomping grounds for lunch. We got there at 2:50 after calling to make sure they served lunch till 3. They told us they were done serving lunch, even though they had people seated. We will not go back there again.",study_spot
"Categories: Coffee & Tea, Food, Coffee Roasteries | Review: Great hip coffee with two locations in Santa Barbara. They use Verve coffee beans from Santa Cruz. 

// PARKING // Street or public lots. 

// FOOD // 
     + Shakerato: Had to try their famous drink. 2 shots of espresso shaken in a shaker with ice and simple syrup. It is served in a small cappuccino cup over some ice. It is very bold without being too strong. If you are someone who likes to sip on a drink for a long time though, this is not for you because it is about half a capuccino cup max in terms of quantity. 
    + Iced coffee with soy milk: Creamy with bold coffee flavor. Reminiscent of Joe's Coffee in NYC

*Their other location has a small parking lot.",study_spot
